Address,Rooms,Price,Bedroom2,Bathroom,Landsize,YearBuilt,Regionname,Suburb,Type
50 Killara St,3,690000,3,1,540,1967,Western Metropolitan,Sunshine West,h
68 Nicholson Pde,3,625000,3,1,650,,Western Metropolitan,Sunshine West,h
11 Ridgeway Pde,3,660000,3,1,700,,Western Metropolitan,Sunshine West,h
5 Empress Ct,3,472500,3,1,586,,Western Metropolitan,Sunshine West,h
23 Glengala Rd,3,547500,3,1,603,1950,Western Metropolitan,Sunshine West,h
43 Joan St,3,590000,3,2,697,,Western Metropolitan,Sunshine West,h
109A David Dr,1,280000,1,1,0,2009,Western Metropolitan,Sunshine West,h
1 Emslie St,3,555000,3,1,836,1975,Western Metropolitan,Sunshine West,h
122 Glengala Rd,3,587000,3,1,694,,Western Metropolitan,Sunshine West,h
7 Salvatore Ct,3,600000,3,2,579,1999,Western Metropolitan,Sunshine West,h
8a Glengala Rd,3,622500,3,1,534,1970,Western Metropolitan,Sunshine West,h
3/14 Smart St,2,350000,2,1,235,1990,Western Metropolitan,Sunshine West,u
4 Apollo Pl,4,657000,4,2,651,1975,Western Metropolitan,Sunshine West,h
33 Mayne St,3,795000,3,1,739,,Western Metropolitan,Sunshine West,h
34 Joan St,3,682000,3,1,694,1960,Western Metropolitan,Sunshine West,h
4 Day St,3,520000,3,1,691,1960,Western Metropolitan,Sunshine West,h
14 Killeen St,3,470000,3,1,591,1971,Western Metropolitan,Sunshine West,h
18 Norton St,3,586000,3,1,701,1960,Western Metropolitan,Sunshine West,h
1/40 Warmington Rd,3,305000,3,1,367,1970,Western Metropolitan,Sunshine West,h
22 Bambara Ct,4,705000,4,2,759,1975,Western Metropolitan,Sunshine West,h
3 Corella Rd,3,486000,3,1,539,,Western Metropolitan,Sunshine West,h
111 Hall St,4,645000,4,2,616,1970,Western Metropolitan,Sunshine West,h
43 Talintyre Rd,3,530000,3,1,623,,Western Metropolitan,Sunshine West,h
57 Warmington Rd,3,500000,3,1,627,1970,Western Metropolitan,Sunshine West,h
2/42 Bardsley St,3,510000,3,2,333,2012,Western Metropolitan,Sunshine West,t
41 Armstrong St,5,715000,4,2,654,,Western Metropolitan,Sunshine West,h
38a Mailey St,3,545000,3,1,512,,Western Metropolitan,Sunshine West,h
25 The Avenue,3,750500,3,2,805,1995,Western Metropolitan,Sunshine West,h
49 Warmington Rd,3,451000,3,1,655,1978,Western Metropolitan,Sunshine West,h
36 Banool Rd,4,2440000,4,3,596,1930,Southern Metropolitan,Surrey Hills,h
2/33 Chestnut St,3,1110000,4,2,401,1970,Southern Metropolitan,Surrey Hills,t
112 Croydon Rd,4,2128000,4,3,771,2000,Southern Metropolitan,Surrey Hills,h
28 Guildford Rd,3,2009000,3,1,843,,Southern Metropolitan,Surrey Hills,h
226 Union Rd,5,2200000,5,3,735,1920,Southern Metropolitan,Surrey Hills,h
3/11 Norfolk Rd,3,1330500,3,2,226,2004,Southern Metropolitan,Surrey Hills,t
36 Russell St,3,1325000,3,2,302,,Southern Metropolitan,Surrey Hills,t
2/247 Elgar Rd,3,930000,3,2,252,1992,Southern Metropolitan,Surrey Hills,u
6/38 Boisdale St,2,640000,2,1,0,1970,Southern Metropolitan,Surrey Hills,u
2/19 Elm St,2,745000,2,1,161,,Southern Metropolitan,Surrey Hills,u
6 Shepherd St,3,2100000,3,2,1255,,Southern Metropolitan,Surrey Hills,h
480 Whitehorse Rd,3,1700000,3,1,763,1930,Southern Metropolitan,Surrey Hills,h
18 Benson St,4,2500000,4,2,783,1920,Southern Metropolitan,Surrey Hills,h
7 Empress Rd,3,1910000,3,2,404,,Southern Metropolitan,Surrey Hills,h
16 Park Rd,2,1018000,3,1,391,,Southern Metropolitan,Surrey Hills,h
22b Essex Rd,4,2200000,4,2,734,1920,Southern Metropolitan,Surrey Hills,h
18/20 Florence Rd,3,736000,3,1,195,,Southern Metropolitan,Surrey Hills,u
3/18 Essex Rd,2,770000,2,1,156,1960,Southern Metropolitan,Surrey Hills,u
89 Guildford Rd,4,2345000,4,2,798,,Southern Metropolitan,Surrey Hills,h
4 Norris St,4,2860000,4,2,779,2014,Southern Metropolitan,Surrey Hills,h
8 Charles St,4,1530000,4,2,486,1890,Southern Metropolitan,Surrey Hills,h
9 Elm St,4,1930000,4,2,867,1950,Southern Metropolitan,Surrey Hills,h
63 Shepherd St,4,1812500,4,2,715,1920,Southern Metropolitan,Surrey Hills,h
1/21 Wharton St,2,760000,2,1,681,1968,Southern Metropolitan,Surrey Hills,u
255 Elgar Rd,4,1300000,4,2,809,1950,Southern Metropolitan,Surrey Hills,h
9 Empress Rd,3,1864000,2,2,405,,Southern Metropolitan,Surrey Hills,h
47 Suffolk Rd,3,2200000,3,2,816,,Southern Metropolitan,Surrey Hills,h
16 Banool Rd,3,1960000,3,2,585,1930,Southern Metropolitan,Surrey Hills,h
706 Canterbury Rd,2,680000,2,1,387,,Southern Metropolitan,Surrey Hills,h
66 Durham Rd,4,1455000,4,2,494,,Southern Metropolitan,Surrey Hills,h
20 Everton Gr,5,2630000,5,3,777,1925,Southern Metropolitan,Surrey Hills,h
15/20 Florence Rd,3,880000,3,1,217,1970,Southern Metropolitan,Surrey Hills,u
14 Verdun St,5,1650000,5,5,693,1930,Southern Metropolitan,Surrey Hills,h
39 Bentley St,3,1755000,3,2,808,1970,Southern Metropolitan,Surrey Hills,h
95 Guildford Rd,4,1700000,4,1,579,1900,Southern Metropolitan,Surrey Hills,h
1/308 Canterbury Rd,2,805000,2,1,297,,Southern Metropolitan,Surrey Hills,u
5 Glendale St,5,1975000,5,2,641,2001,Southern Metropolitan,Surrey Hills,h
2/23 Broughton Rd,2,610000,2,1,102,1970,Southern Metropolitan,Surrey Hills,u
54 Croydon Rd,4,2003000,4,2,383,1880,Southern Metropolitan,Surrey Hills,h
3/290 Mont Albert Rd,2,831000,2,1,982,,Southern Metropolitan,Surrey Hills,u
53 Broughton Rd,5,1350000,3,2,677,1948,Southern Metropolitan,Surrey Hills,h
5/26 Florence Rd,2,550000,2,1,174,,Southern Metropolitan,Surrey Hills,u
3 Olyve Ct,4,1850000,5,2,612,1970,Southern Metropolitan,Surrey Hills,h
212 Union Rd,4,2050000,3,2,949,1910,Southern Metropolitan,Surrey Hills,h
7 Newton St,5,2100000,5,2,1025,1915,Southern Metropolitan,Surrey Hills,h
6 Alandale St,3,1150000,3,2,247,2005,Southern Metropolitan,Surrey Hills,h
2/11 Blackburn St,2,823000,2,1,165,1970,Southern Metropolitan,Surrey Hills,u
61 Durham Rd,5,2100000,5,4,827,,Southern Metropolitan,Surrey Hills,h
2/215 Mont Albert Rd,2,770500,1,2,88,1997,Southern Metropolitan,Surrey Hills,t
38 Park Rd,4,1250000,3,2,457,1930,Southern Metropolitan,Surrey Hills,h
7/92 Union Rd,2,600000,2,1,101,1975,Southern Metropolitan,Surrey Hills,u
26 Newton St,4,2060000,4,2,745,,Southern Metropolitan,Surrey Hills,h
52 Suffolk Rd,4,1750000,4,2,817,,Southern Metropolitan,Surrey Hills,h
42a Essex Rd,4,1725000,3,2,798,,Southern Metropolitan,Surrey Hills,h
1/52 Union Rd,2,620000,2,1,96,,Southern Metropolitan,Surrey Hills,u
5/402 Whitehorse Rd,2,562500,2,1,0,1950,Southern Metropolitan,Surrey Hills,u
34 Barton St,4,1850000,3,2,632,,Southern Metropolitan,Surrey Hills,h
1 Marne St,4,2125000,4,2,702,1927,Southern Metropolitan,Surrey Hills,h
4/5 Middlesex Rd,2,656000,1,1,951,1970,Southern Metropolitan,Surrey Hills,u
16 Pembroke St,4,1650000,2,1,437,1890,Southern Metropolitan,Surrey Hills,h
29 Boisdale St,5,1518000,5,2,632,1950,Southern Metropolitan,Surrey Hills,h
14 Scheele St,3,1560000,0,2,335,2013,Southern Metropolitan,Surrey Hills,h
2A Edyvean St,3,1185000,3,2,267,2000,Southern Metropolitan,Surrey Hills,h
3/5 Florence Rd,3,865000,3,1,217,1970,Southern Metropolitan,Surrey Hills,t
14 Park Rd,3,1135000,3,1,414,,Southern Metropolitan,Surrey Hills,h
20 Scottsdale St,4,2160000,4,3,1064,1969,Southern Metropolitan,Surrey Hills,h
3/22 Scottsdale St,2,899000,2,1,226,1980,Southern Metropolitan,Surrey Hills,u
19 Sydenham La,6,2000000,6,3,650,1997,Southern Metropolitan,Surrey Hills,h
17 Weybridge St,3,2300000,3,2,735,1920,Southern Metropolitan,Surrey Hills,h
6/402 Whitehorse Rd,2,520000,2,1,0,,Southern Metropolitan,Surrey Hills,u
545 Whitehorse Rd,5,2450000,5,4,1076,,Southern Metropolitan,Surrey Hills,h
2/23 Clyde St,2,600000,2,1,124,1985,Southern Metropolitan,Surrey Hills,u
17 Empress Rd,3,2180000,3,1,441,1910,Southern Metropolitan,Surrey Hills,h
39 York St,4,2760000,4,2,924,1920,Southern Metropolitan,Surrey Hills,h
1/10 Florence Rd,2,813000,2,1,108,,Southern Metropolitan,Surrey Hills,u
999A Riversdale Rd,3,1205000,3,1,490,,Southern Metropolitan,Surrey Hills,h
20 Anderson St,3,1251000,4,2,536,1930,Southern Metropolitan,Surrey Hills,h
5 Boronia St,6,1650000,4,3,713,1928,Southern Metropolitan,Surrey Hills,h
5/35 Durham Rd,2,600000,2,1,163,,Southern Metropolitan,Surrey Hills,h
33 Ross St,4,1835000,4,2,619,1930,Southern Metropolitan,Surrey Hills,h
3/4 Wells St,2,778500,2,1,170,1960,Southern Metropolitan,Surrey Hills,u
40 Grovedale Rd,4,1751000,3,1,627,,Southern Metropolitan,Surrey Hills,h
2/59 Weybridge St,2,694000,3,1,0,,Southern Metropolitan,Surrey Hills,u
25 Clauscen St,3,1150000,4,2,649,,Eastern Metropolitan,Templestowe Lower,h
3 Waratah Dr,4,1201000,4,2,657,1978,Eastern Metropolitan,Templestowe Lower,h
41 Dellfield Dr,4,1165000,4,2,673,1972,Eastern Metropolitan,Templestowe Lower,h
166 MacEdon Rd,3,1098000,3,2,649,,Eastern Metropolitan,Templestowe Lower,h
120 Templestowe Rd,3,742500,3,1,313,1980,Eastern Metropolitan,Templestowe Lower,h
6 Boonah Ct,5,1050000,5,3,728,,Eastern Metropolitan,Templestowe Lower,h
11 Corroboree Pl,4,1257000,4,3,706,,Eastern Metropolitan,Templestowe Lower,h
65 Glenair St,3,1101000,3,2,643,1965,Eastern Metropolitan,Templestowe Lower,h
2/28 Hazel Dr,3,641000,3,1,349,,Eastern Metropolitan,Templestowe Lower,u
40 Ironbark Dr,8,1150000,6,4,668,,Eastern Metropolitan,Templestowe Lower,h
8 Corroboree Pl,3,1200000,3,1,730,1960,Eastern Metropolitan,Templestowe Lower,h
157 Swanston St,4,990000,4,2,652,1973,Eastern Metropolitan,Templestowe Lower,h
271 High St,4,1500000,4,2,420,2013,Eastern Metropolitan,Templestowe Lower,h
315 Thompsons Rd,3,1290000,3,1,900,1960,Eastern Metropolitan,Templestowe Lower,h
360 Thompsons Rd,4,790000,4,2,671,1970,Eastern Metropolitan,Templestowe Lower,h
40 Dellfield Dr,5,950000,5,3,700,1973,Eastern Metropolitan,Templestowe Lower,h
65 Fyfe Dr,4,1421000,4,2,650,1980,Eastern Metropolitan,Templestowe Lower,h
4 Finn Ct,3,1051000,3,2,962,1970,Eastern Metropolitan,Templestowe Lower,h
36 Howitt Dr,3,1065000,3,1,664,,Eastern Metropolitan,Templestowe Lower,h
240 Manningham Rd,4,1120000,4,2,636,,Eastern Metropolitan,Templestowe Lower,h
45 Lynnwood Pde,5,1710000,5,2,666,1980,Eastern Metropolitan,Templestowe Lower,h
16 Clauscen St,4,1280000,4,2,681,1970,Eastern Metropolitan,Templestowe Lower,h
39 Hazel Dr,5,750000,5,3,800,2006,Eastern Metropolitan,Templestowe Lower,h
253 Thompsons Rd,4,1000000,4,3,728,1970,Eastern Metropolitan,Templestowe Lower,h
2/47 Parker St,2,678000,2,1,340,1980,Eastern Metropolitan,Templestowe Lower,t
13 Tasker St,3,1010000,3,2,751,1968,Eastern Metropolitan,Templestowe Lower,h
64 Magnolia Ct,4,1325000,4,3,740,,Eastern Metropolitan,Templestowe Lower,h
34 Parker St,3,1210000,3,1,794,1960,Eastern Metropolitan,Templestowe Lower,h
1/59 Parker St,3,766000,3,1,226,,Eastern Metropolitan,Templestowe Lower,t
42 Glenair St,3,982000,4,2,652,,Eastern Metropolitan,Templestowe Lower,h
133 MacEdon Rd,4,945000,4,2,675,1985,Eastern Metropolitan,Templestowe Lower,h
2/27 Ruffey St,3,725000,3,1,465,1975,Eastern Metropolitan,Templestowe Lower,u
1 Beacon Ct,4,975000,4,2,953,,Eastern Metropolitan,Templestowe Lower,h
3 Buller Tce,3,1211000,3,2,875,1970,Eastern Metropolitan,Templestowe Lower,h
135 MacEdon Rd,4,1100000,4,2,654,1970,Eastern Metropolitan,Templestowe Lower,h
5 Michael St,3,1155000,3,1,770,,Eastern Metropolitan,Templestowe Lower,h
3 Astley St,4,920000,4,2,678,1980,Eastern Metropolitan,Templestowe Lower,h
30 Waratah Dr,3,940000,3,1,661,,Eastern Metropolitan,Templestowe Lower,h
9 Esther St,3,1053000,3,1,726,1960,Eastern Metropolitan,Templestowe Lower,h
15 Killarney Rd,3,1002000,3,1,799,1960,Eastern Metropolitan,Templestowe Lower,h
4/45 John St,3,755000,3,1,265,1980,Eastern Metropolitan,Templestowe Lower,u
20 Astley St,4,1209000,4,2,770,1965,Eastern Metropolitan,Templestowe Lower,h
62 Hodgson St,5,2080000,5,4,646,2016,Eastern Metropolitan,Templestowe Lower,h
30 Jeffrey St,3,1050000,3,1,727,1960,Eastern Metropolitan,Templestowe Lower,h
5 MacRobertson St,4,1118000,4,2,705,1970,Eastern Metropolitan,Templestowe Lower,h
31 Sassafras Dr,4,1070000,4,2,637,,Eastern Metropolitan,Templestowe Lower,h
208 Templestowe Rd,4,903000,4,1,618,1960,Eastern Metropolitan,Templestowe Lower,h
4 Caroline Dr,3,1220000,3,1,720,1960,Eastern Metropolitan,Templestowe Lower,h
6 Exeter Cl,4,1222000,4,2,732,,Eastern Metropolitan,Templestowe Lower,h
205 High St,3,2025000,3,1,796,,Eastern Metropolitan,Templestowe Lower,h
26 Horsfall St,4,1650000,4,2,673,2005,Eastern Metropolitan,Templestowe Lower,h
78 Olympus Dr,4,1182500,4,2,650,1975,Eastern Metropolitan,Templestowe Lower,h
132 Templestowe Rd,4,1020000,4,2,652,1965,Eastern Metropolitan,Templestowe Lower,h
22 Hazel Dr,3,838000,3,2,467,,Eastern Metropolitan,Templestowe Lower,h
23 Hotham St,3,650000,3,1,327,1975,Eastern Metropolitan,Templestowe Lower,h
49 Howitt Dr,4,870000,4,1,826,1960,Eastern Metropolitan,Templestowe Lower,h
16 Rosa St,3,1509000,3,2,812,1960,Eastern Metropolitan,Templestowe Lower,h
64 MacEdon Rd,4,1358500,4,2,742,,Eastern Metropolitan,Templestowe Lower,h
2/305 Rossmoyne St,3,510000,3,1,0,,Northern Metropolitan,Thornbury,u
4/73 Flinders St,2,470000,2,1,0,1970,Northern Metropolitan,Thornbury,u
10/11 Kemp St,2,435000,2,1,1054,,Northern Metropolitan,Thornbury,u
2/6 Kemp St,1,517500,1,1,0,1910,Northern Metropolitan,Thornbury,u
40/337 Station St,1,370000,1,1,0,1999,Northern Metropolitan,Thornbury,u
3/125 Fyffe St,2,805000,2,1,164,2009,Northern Metropolitan,Thornbury,t
184 Raleigh St,4,1428888,4,2,470,1930,Northern Metropolitan,Thornbury,h
40 Wales St,2,940000,2,1,372,1950,Northern Metropolitan,Thornbury,h
6/89 Ballantyne St,1,270000,1,1,0,1970,Northern Metropolitan,Thornbury,u
72 Gooch St,3,865000,3,2,158,,Northern Metropolitan,Thornbury,t
19 Hobson St,2,700000,2,1,139,,Northern Metropolitan,Thornbury,h
4b Newcastle St,3,910000,3,2,0,,Northern Metropolitan,Thornbury,t
52 Gooch St,3,1135000,3,1,294,,Northern Metropolitan,Thornbury,h
6/112 Ballantyne St,1,260000,1,1,0,1970,Northern Metropolitan,Thornbury,u
5/1 Clyde St,2,505000,2,1,0,,Northern Metropolitan,Thornbury,u
2/54 Pender St,1,365000,1,1,0,1970,Northern Metropolitan,Thornbury,u
178 Clarendon St,3,1430000,3,1,705,,Northern Metropolitan,Thornbury,h
1/13 Mansfield St,2,525500,2,1,724,1975,Northern Metropolitan,Thornbury,u
327 Gillies St,3,1210000,3,2,398,,Northern Metropolitan,Thornbury,h
4 Kelvin Gr,2,944000,2,1,185,1900,Northern Metropolitan,Thornbury,h
92 Speight St,2,970000,2,1,491,,Northern Metropolitan,Thornbury,h
51 Alston St,3,887000,3,2,540,1935,Northern Metropolitan,Thornbury,h
6/75 Pender St,1,277500,1,1,0,,Northern Metropolitan,Thornbury,u
220a Mansfield St,3,701000,3,3,273,1958,Northern Metropolitan,Thornbury,h
296 Gooch St,2,740000,3,1,467,,Northern Metropolitan,Thornbury,h
46 Harold St,2,1110000,2,1,288,1925,Northern Metropolitan,Thornbury,h
269 Mansfield St,4,795000,4,2,402,,Northern Metropolitan,Thornbury,h
1/219 Raleigh St,1,332000,1,1,612,1975,Northern Metropolitan,Thornbury,u
126 Keon St,3,1265000,3,2,397,1920,Northern Metropolitan,Thornbury,h
111 Smith St,2,1085000,2,1,303,1930,Northern Metropolitan,Thornbury,h
10 Ethel St,3,898000,3,2,210,2010,Northern Metropolitan,Thornbury,h
22 Gooch St,3,1235000,3,3,288,1920,Northern Metropolitan,Thornbury,h
52a Leinster Gr,3,910500,3,2,157,2010,Northern Metropolitan,Thornbury,t
37 Lewis St,3,995000,2,1,327,1920,Northern Metropolitan,Thornbury,h
84 Raleigh St,2,760000,2,1,0,1900,Northern Metropolitan,Thornbury,h
4/305 Rossmoyne St,2,505000,2,1,0,1980,Northern Metropolitan,Thornbury,u
11 Clarendon St,3,1400000,2,2,417,1920,Northern Metropolitan,Thornbury,h
55 Comas Gr,3,1200000,3,2,430,,Northern Metropolitan,Thornbury,h
48 Leinster Gr,3,920000,2,1,410,,Northern Metropolitan,Thornbury,h
50 Leinster Gr,3,1110000,3,1,562,1950,Northern Metropolitan,Thornbury,h
146 Rossmoyne St,3,1200000,3,2,345,1905,Northern Metropolitan,Thornbury,h
1/295 Rossmoyne St,2,560000,2,1,0,,Northern Metropolitan,Thornbury,u
2/2 Dundas St,2,450000,2,1,0,1970,Northern Metropolitan,Thornbury,u
59A Fyffe St,3,1190000,3,1,0,,Northern Metropolitan,Thornbury,h
39 Keon St,3,1020000,3,1,366,,Northern Metropolitan,Thornbury,h
33 Wales St,3,1245000,3,1,409,,Northern Metropolitan,Thornbury,h
4/77 Pender St,2,350000,2,1,0,1960,Northern Metropolitan,Thornbury,u
6/267 Rossmoyne St,2,571750,2,1,0,2012,Northern Metropolitan,Thornbury,u
314A Gillies St,2,874000,2,1,333,1985,Northern Metropolitan,Thornbury,h
152 Gooch St,3,1427000,3,1,275,1920,Northern Metropolitan,Thornbury,h
8/14 Hutton St,1,295000,1,1,0,,Northern Metropolitan,Thornbury,u
3/57 Pender St,1,383000,1,1,0,1965,Northern Metropolitan,Thornbury,u
36 Rossmoyne St,2,1164000,2,2,206,,Northern Metropolitan,Thornbury,h
2/143 Smith St,1,315000,1,1,0,1970,Northern Metropolitan,Thornbury,u
8/89 Ballantyne St,1,245000,1,1,0,,Northern Metropolitan,Thornbury,u
144 Clarendon St,3,1290000,3,1,435,1920,Northern Metropolitan,Thornbury,h
2/121 Darebin Rd,2,605000,2,1,133,,Northern Metropolitan,Thornbury,u
2/104 Keon St,2,450000,2,1,335,1960,Northern Metropolitan,Thornbury,u
279 Mansfield St,2,900000,2,1,497,,Northern Metropolitan,Thornbury,h
51 Martin St,3,1620000,3,2,477,,Northern Metropolitan,Thornbury,h
7/67 Pender St,2,438000,2,1,0,1970,Northern Metropolitan,Thornbury,u
138 Raleigh St,2,1143000,2,1,431,,Northern Metropolitan,Thornbury,h
43 Ballantyne St,2,925000,2,1,258,,Northern Metropolitan,Thornbury,h
50b Clyde St,3,1250000,3,2,297,2013,Northern Metropolitan,Thornbury,h
56a Leinster Gr,3,1070000,3,2,158,2007,Northern Metropolitan,Thornbury,t
4/77 Pender St,2,371000,2,1,0,1960,Northern Metropolitan,Thornbury,u
109 Rossmoyne St,3,1570000,4,2,377,1920,Northern Metropolitan,Thornbury,h
4/85 St David St,2,486000,2,1,0,1960,Northern Metropolitan,Thornbury,u
85A Clyde St,3,1100000,3,2,7330,2011,Northern Metropolitan,Thornbury,t
29 Collins St,2,1211000,2,1,302,1915,Northern Metropolitan,Thornbury,h
7/9 Hammond St,2,466000,2,1,909,,Northern Metropolitan,Thornbury,u
45A Harold St,3,1280000,3,1,253,1910,Northern Metropolitan,Thornbury,h
42 Mansfield St,4,1478000,4,2,387,1900,Northern Metropolitan,Thornbury,h
172 Rossmoyne St,3,1280000,3,2,349,,Northern Metropolitan,Thornbury,h
39 Smith St,3,1913000,3,2,611,1930,Northern Metropolitan,Thornbury,h
11 Martin St,3,1272000,3,1,297,1920,Northern Metropolitan,Thornbury,h
6 Martin St,2,972000,2,1,229,,Northern Metropolitan,Thornbury,h
337 Rossmoyne St,4,928500,4,2,538,1960,Northern Metropolitan,Thornbury,h
5/82 Gooch St,2,432500,2,1,748,1965,Northern Metropolitan,Thornbury,u
2/54 Pender St,1,330000,1,1,0,1970,Northern Metropolitan,Thornbury,u
172 Rossmoyne St,3,1200000,3,2,349,,Northern Metropolitan,Thornbury,h
67/337 Station St,2,510000,2,1,0,,Northern Metropolitan,Thornbury,u
129 Clarendon St,3,1370000,3,2,417,1930,Northern Metropolitan,Thornbury,h
8/77 Pender St,1,303500,1,1,0,1970,Northern Metropolitan,Thornbury,u
386 Station St,3,1160000,3,2,644,2001,Northern Metropolitan,Thornbury,h
5/67 Flinders St,2,601000,2,1,82,,Northern Metropolitan,Thornbury,u
46 Rennie St,3,1430000,3,2,365,,Northern Metropolitan,Thornbury,h
126 Smith St,3,1380000,3,2,359,1920,Northern Metropolitan,Thornbury,h
31 Newman St,3,1200000,3,2,332,,Northern Metropolitan,Thornbury,h
1/3 Glover Ct,3,1435000,3,1,889,1943,Southern Metropolitan,Toorak,h
10 Myoora Rd,4,5500000,4,3,691,2000,Southern Metropolitan,Toorak,h
16/3 Tahara Rd,1,546000,1,1,1677,,Southern Metropolitan,Toorak,u
232 Williams Rd,3,1635000,3,1,386,,Southern Metropolitan,Toorak,h
2/635 Malvern Rd,2,876000,2,1,649,1935,Southern Metropolitan,Toorak,u
7/765 Malvern Rd,2,620000,2,1,1119,2008,Southern Metropolitan,Toorak,u
684 Orrong Rd,4,5500000,4,4,877,1923,Southern Metropolitan,Toorak,h
13 Ruabon Rd,2,1300000,2,1,338,,Southern Metropolitan,Toorak,h
16 Tashinny Rd,3,1689000,3,1,222,1920,Southern Metropolitan,Toorak,h
34/530 Toorak Rd,2,517500,2,1,0,,Southern Metropolitan,Toorak,u
4/568 Toorak Rd,3,1100000,3,2,0,1935,Southern Metropolitan,Toorak,u
2/29 May Rd,1,430000,2,1,0,1970,Southern Metropolitan,Toorak,u
7/3 Tahara Rd,2,701500,2,1,0,1951,Southern Metropolitan,Toorak,u
4/8 Bruce St,2,925000,2,2,0,1970,Southern Metropolitan,Toorak,u
10/1 Ruabon Rd,2,450000,2,1,0,1970,Southern Metropolitan,Toorak,u
1/21 Bruce St,1,349000,1,1,0,1958,Southern Metropolitan,Toorak,u
1/53 Grange Rd,2,838000,2,1,0,,Southern Metropolitan,Toorak,u
27/789 Malvern Rd,2,380000,2,1,0,,Southern Metropolitan,Toorak,u
8/2 Douglas St,1,462800,1,1,0,1970,Southern Metropolitan,Toorak,u
2/703 Orrong Rd,2,1450000,2,2,0,,Southern Metropolitan,Toorak,u
5 Berenice Tce,4,4000000,3,2,632,,Southern Metropolitan,Toorak,h
1 Grosvenor Ct,3,1635000,3,1,1099,,Southern Metropolitan,Toorak,u
5/755 Malvern Rd,3,2400000,3,3,425,1998,Southern Metropolitan,Toorak,t
11/789 Malvern Rd,1,345000,1,1,0,,Southern Metropolitan,Toorak,u
7a Woorigoleen Rd,3,2650000,3,3,0,2000,Southern Metropolitan,Toorak,t
4 Matthews Ct,3,2820000,3,2,600,1967,Southern Metropolitan,Toorak,h
4/264 Williams Rd,2,810000,2,2,0,1980,Southern Metropolitan,Toorak,u
296A Williams Rd,3,2840000,3,2,1317,2000,Southern Metropolitan,Toorak,h
11 Church St,3,2700000,3,2,294,2010,Southern Metropolitan,Toorak,t
19/36 Grange Rd,1,515501,1,1,0,1970,Southern Metropolitan,Toorak,u
2/76 Mathoura Rd,1,611000,1,1,0,,Southern Metropolitan,Toorak,u
1 Ross St,4,4000000,4,4,324,,Southern Metropolitan,Toorak,h
8/5 Gordon St,1,405000,1,1,0,,Southern Metropolitan,Toorak,u
17 Albany Rd,3,6250000,3,3,564,2000,Southern Metropolitan,Toorak,h
23 Canberra Rd,4,4500000,4,3,732,1980,Southern Metropolitan,Toorak,h
28 Church St,4,2025000,4,2,237,,Southern Metropolitan,Toorak,h
7/36 Grange Rd,1,541000,1,1,0,1970,Southern Metropolitan,Toorak,u
4/83 Grange Rd,3,1550000,3,2,117,2000,Southern Metropolitan,Toorak,t
3/1085 Malvern Rd,3,2205000,4,2,0,2014,Southern Metropolitan,Toorak,u
18/703 Orrong Rd,2,1100000,3,2,0,,Southern Metropolitan,Toorak,u
12/1 Ruabon Rd,2,490000,2,1,0,1970,Southern Metropolitan,Toorak,u
719a Malvern Rd,3,1300000,3,1,266,,Southern Metropolitan,Toorak,h
5 Kyeamba Gr,3,2050000,3,2,339,,Southern Metropolitan,Toorak,t
3 Mell St,5,2170000,3,1,333,,Southern Metropolitan,Toorak,h
11/38 Grange Rd,3,950000,3,1,57,1960,Southern Metropolitan,Toorak,u
22/530 Toorak Rd,2,531000,2,1,0,,Southern Metropolitan,Toorak,u
3/765 Malvern Rd,2,575000,2,1,0,2008,Southern Metropolitan,Toorak,u
17/34 Mathoura Rd,1,366000,1,1,0,1967,Southern Metropolitan,Toorak,u
28 Warra St,4,2620000,4,2,516,1925,Southern Metropolitan,Toorak,h
13 Bruce St,3,1900000,3,2,268,1900,Southern Metropolitan,Toorak,h
2/19 Bruce St,2,1210000,2,2,101,,Southern Metropolitan,Toorak,t
4 Nola Ct,4,4000000,4,2,684,1963,Southern Metropolitan,Toorak,h
8/17 Myoora Rd,2,540000,2,1,0,,Southern Metropolitan,Toorak,u
1/183 Kooyong Rd,2,857000,2,0,0,,Southern Metropolitan,Toorak,u
6 Leighton Ct,3,4200000,4,4,565,2005,Southern Metropolitan,Toorak,h
1A Boandyne Ct,2,3260000,2,2,334,,Southern Metropolitan,Toorak,h
12 Mell St,2,1900000,2,2,218,,Southern Metropolitan,Toorak,h
9/28 Power St,2,690000,2,1,0,1960,Southern Metropolitan,Toorak,u
20 Sargood St,2,2100000,2,2,457,,Southern Metropolitan,Toorak,t
16/36 Grange Rd,1,460000,1,1,0,,Southern Metropolitan,Toorak,u
15/703 Orrong Rd,2,1400000,2,2,2927,,Southern Metropolitan,Toorak,u
23/530 Toorak Rd,2,511000,2,1,0,1970,Southern Metropolitan,Toorak,u
1/558 Toorak Rd,2,645000,2,1,0,,Southern Metropolitan,Toorak,u
10/264 Williams Rd,3,910000,3,2,0,1980,Southern Metropolitan,Toorak,t
28 Bruce St,3,2250000,3,3,575,1930,Southern Metropolitan,Toorak,h
10/530 Toorak Rd,2,525000,2,1,0,1950,Southern Metropolitan,Toorak,u
16 Cole Ct,3,3270000,3,2,363,1935,Southern Metropolitan,Toorak,h
6/183 Kooyong Rd,2,866000,2,0,0,,Southern Metropolitan,Toorak,u
3 Ruabon Rd,3,1170000,3,1,405,,Southern Metropolitan,Toorak,h
